op,pid,latency_ticks,cs_ticks,flags
3,10,18455,0,0
2,10,39520,20650,0
3,10,18668,0,0
2,10,28967,10421,0
3,10,18455,0,0
2,10,49734,30710,0
3,10,18469,0,0
2,10,38792,20300,0
3,10,18455,0,0
2,10,39868,20493,0
3,10,18548,0,0
2,10,39720,20680,0
3,10,18457,0,0
2,10,28759,10299,0
3,10,18455,0,0
2,10,28772,10311,0
3,10,18455,0,0
2,10,28784,10311,0
3,10,18455,0,0
2,10,28772,10299,0
3,10,18455,0,0
2,10,28784,10311,0
3,10,18455,0,0
2,10,28772,10299,0
3,7,2408678,830518,0
2,7,40984,21125,0
3,7,39525,20317,0
2,7,38758,20284,0
3,7,18473,0,0
2,7,28735,10284,0
3,7,39178,20217,0
2,7,28718,10267,0
3,7,39178,20217,0
2,7,38668,20217,0
3,7,18455,0,0
2,7,38719,20245,0
3,7,39763,20234,0
2,7,38882,20359,0
3,7,18473,0,0
2,7,39441,20484,0
3,7,18455,0,0
2,7,39424,20467,0
3,7,18455,0,0
2,7,38719,20245,0
3,7,18473,0,0
2,7,38685,20234,0
3,7,18455,0,0
2,7,28718,10267,0
3,8,2409808,850383,0
2,8,40651,20951,0
3,8,18645,0,0
2,8,38843,20392,0
3,8,39213,20252,0
2,8,38757,20283,0
3,8,39213,20234,0
2,8,28718,10267,0
3,8,18455,0,0
2,8,38720,20246,0
3,8,18473,0,0
2,8,28735,10284,0
3,8,39794,20217,0
2,8,49602,30559,0
3,8,18473,0,0
2,8,39424,20467,0
3,8,18455,0,0
2,8,38720,20246,0
3,8,18473,0,0
2,8,28735,10284,0
3,8,18455,0,0
2,8,28718,10267,0
3,8,18455,0,0
2,8,38668,20217,0
3,8,18455,0,0
3,9,2420108,898820,0
2,9,52211,31831,0
3,9,18728,0,0
2,9,49669,30617,0
3,9,18475,0,0
2,9,28878,10354,0
3,9,18455,0,0
2,9,28879,10382,0
3,9,39367,20386,0
2,9,38784,20274,0
3,9,39329,20348,0
2,9,38791,20245,0
3,9,19056,0,0
2,9,49722,30636,0
3,9,18455,0,0
2,9,38919,20399,0
3,9,18475,0,0
2,9,28892,10398,0
3,9,18455,0,0
2,9,49590,30591,0
3,9,18455,0,0
2,9,38849,20329,0
3,9,18475,0,0
2,9,39580,20576,0
3,9,18455,0,0
3,10,2443552,959251,0
2,10,41772,21837,0
3,10,18864,0,0
2,10,29007,10486,0
3,10,39484,20523,0
2,10,50129,30783,0
3,10,18550,0,0
2,10,28933,10387,0
3,10,39178,20217,0
2,10,39292,20494,0
3,10,18548,0,0
2,10,29197,10708,0
3,10,39834,20259,0
2,10,28899,10375,0
3,10,18455,0,0
2,10,28749,10288,0
3,10,39180,20219,0
2,10,39312,20496,0
3,10,18535,0,0
2,10,49711,30706,0
3,10,18471,0,0
2,10,39347,20538,0
3,10,18517,0,0
2,10,49473,30478,0
3,7,2439872,952321,0
2,7,51959,31612,0
3,7,18645,0,0
2,7,39424,20467,0
3,7,18455,0,0
2,7,38720,20246,0
3,7,18473,0,0
